,city,dispatch_date,slot,num_rider_id,orders,awb_pay,cpo
0,Bangalore,2024-04-01,evening,840,27,777,28.77777777777778
1,Bangalore,2024-04-01,evening,850,43,1290,30.0
2,Bangalore,2024-04-01,evening,1000,19,665,35.0
3,Bangalore,2024-04-01,evening,1024,29,828,28.551724137931036
4,Bangalore,2024-04-01,evening,1072,35,1085,31.0
5,Bangalore,2024-04-01,evening,1402,52,1504,28.923076923076923
6,Bangalore,2024-04-01,evening,1431,9,594,66.0
7,Bangalore,2024-04-01,evening,1586,28,868,31.0
8,Bangalore,2024-04-01,evening,1813,12,420,35.0
9,Bangalore,2024-04-01,evening,1815,8,460,57.5
10,Bangalore,2024-04-01,evening,1832,1,72,72.0
11,Bangalore,2024-04-01,evening,1833,10,759,75.9
12,Bangalore,2024-04-01,evening,1860,7,189,27.0
13,Bangalore,2024-04-01,evening,1875,22,770,35.0
14,Bangalore,2024-04-01,evening,1897,1,29,29.0
15,Bangalore,2024-04-01,evening,1914,20,580,29.0
16,Bangalore,2024-04-01,evening,1915,31,930,30.0
17,Bangalore,2024-04-01,evening,1916,13,728,56.0
18,Bangalore,2024-04-01,evening,1939,14,580,41.42857142857143
19,Bangalore,2024-04-01,evening,1955,21,861,41.0
20,Bangalore,2024-04-01,evening,1972,44,1585,36.02272727272727
21,Bangalore,2024-04-01,evening,2094,14,518,37.0
22,Bangalore,2024-04-01,evening,2192,22,815,37.04545454545455
23,Bangalore,2024-04-01,evening,2228,14,784,56.0
24,Bangalore,2024-04-01,evening,2251,11,385,35.0
25,Bangalore,2024-04-01,evening,2414,37,1220,32.972972972972975
26,Bangalore,2024-04-01,evening,2444,7,245,35.0
27,Bangalore,2024-04-01,evening,2508,22,748,34.0
28,Bangalore,2024-04-01,evening,2531,14,770,55.0
29,Bangalore,2024-04-01,evening,2629,11,726,66.0
30,Bangalore,2024-04-01,evening,2695,14,742,53.0
31,Bangalore,2024-04-01,evening,2809,23,805,35.0
