date,city,hub,total_pay,cod_deduction,lost_deduction,fake_deduction,total_deduction,net_pay
2024-01-01,Bangalore,BLR FRH ECTY,"556,840",0,"18,947",0,"18,947","537,893"
2024-01-01,Bangalore,CMRJ-Franchise,"63,640","8,974","14,798",0,"23,771","39,869"
2024-01-01,Bangalore,STNG-Franchise,"11,600",0,"1,910",0,"1,910","9,690"
2024-01-01,Bangalore,UUTR-Franchise,"325,120",198,"23,478",0,"23,676","301,444"
2024-01-01,Delhi,DEL FRH GKP,"667,102","13,645","64,470",0,"78,115","588,987"
2024-01-01,Delhi,FBD-Franchise,"250,956","1,199","34,151",0,"35,350","215,606"
2024-01-01,Delhi,GGKC-Franchise,"79,560",0,270,0,270,"79,290"
2024-01-01,Delhi,Noida-Franchise,"488,232",596,"41,369",0,"41,965","446,267"
2024-01-01,Delhi,ONFC-Franchise,"36,453",0,"11,947",0,"11,947","24,507"
2024-01-01,Delhi,RHNP-Franchise,"168,620",0,"2,251",0,"2,251","166,369"
2024-01-01,Mumbai,GRGN-Franchise,"243,640","1,828","15,696",0,"17,524","226,116"
2024-02-01,Bangalore,BLDR-Franchise,"272,655",0,"9,661",0,"9,661","262,994"
2024-02-01,Bangalore,BLR FRH ECTY,"594,495",561,"15,573",0,"16,134","578,362"
2024-02-01,Bangalore,CMRJ-Franchise,"267,758","25,185","1,746",0,"26,931","240,827"
2024-02-01,Bangalore,STNG-Franchise,"173,872",0,"4,539",0,"4,539","169,333"
2024-02-01,Bangalore,UUTR-Franchise,"385,680",0,"8,222",0,"8,222","377,458"
2024-02-01,Bangalore,YLHK-Franchise,266,0,"1,299",0,"1,299","-1,033"
2024-02-01,Delhi,DEL FRH GKP,"567,720",0,"25,193",0,"25,193","542,527"
2024-02-01,Delhi,FBD-Franchise,"231,434",0,"8,198",0,"8,198","223,237"
2024-02-01,Delhi,GGKC-Franchise,"270,050",0,"8,842",0,"8,842","261,209"
2024-02-01,Delhi,Noida-Franchise,"161,991",199,"17,917",0,"18,116","143,875"
2024-02-01,Delhi,ONFC-Franchise,"116,547","1,804","16,143",0,"17,947","98,600"
2024-02-01,Delhi,RHNP-Franchise,"342,689",0,"4,295",0,"4,295","338,394"
2024-02-01,Delhi,SNSR-Franchise,"85,683",0,0,0,0,"85,683"
2024-02-01,Mumbai,GRGN-Franchise,"303,960","795,761","31,070",0,"826,831","-522,871"
2024-03-01,Bangalore,BLDR-Franchise,"405,750",0,999,0,999,"404,751"
2024-03-01,Bangalore,BLR FRH ECTY,"621,270",0,578,0,578,"620,692"
2024-03-01,Bangalore,CMRJ-Franchise,"271,202",0,"2,547",0,"2,547","268,655"
2024-03-01,Bangalore,STNG-Franchise,"177,328",0,568,0,568,"176,760"
2024-03-01,Bangalore,UUTR-Franchise,"395,844","47,031","4,492",0,"51,523","344,321"
2024-03-01,Bangalore,YLHK-Franchise,"284,920",0,"4,391",0,"4,391","280,529"
2024-03-01,Delhi,DEL FRH GKP,"350,499",0,"3,414",0,"3,414","347,085"
2024-03-01,Delhi,FBD-Franchise,"185,015",0,"3,360",0,"3,360","181,656"
2024-03-01,Delhi,GGKC-Franchise,"196,560",0,"1,198",0,"1,198","195,362"
2024-03-01,Delhi,ONFC-Franchise,"142,655",0,398,0,398,"142,257"
2024-03-01,Delhi,RHNP-Franchise,"333,895",899,"1,619",0,"2,518","331,377"
2024-03-01,Delhi,SNSR-Franchise,"168,760",0,"15,025",0,"15,025","153,736"
2024-03-01,Hyderabad,BRBN-Franchise,"147,560",0,"16,100",0,"16,100","131,460"
2024-03-01,Hyderabad,KPHB-Franchise,"135,896","4,649","73,446",0,"78,095","57,801"
2024-03-01,Mumbai,GRGN-Franchise,"30,600","3,292",0,0,"3,292","27,308"
2024-04-01,Bangalore,BLDR-Franchise,"632,775",0,"9,444",0,"9,444","623,331"
2024-04-01,Bangalore,BLR FRH ECTY,"753,460",0,"10,655","1,000","11,655","741,805"
2024-04-01,Bangalore,CMRJ-Franchise,"271,362","8,987","4,369",0,"13,356","258,006"
2024-04-01,Bangalore,STNG-Franchise,"191,076",0,"2,283",0,"2,283","188,793"
2024-04-01,Bangalore,UUTR-Franchise,"399,376",0,999,0,999,"398,377"
2024-04-01,Bangalore,YLHK-Franchise,"271,812",0,"2,021",0,"2,021","269,791"
2024-04-01,Delhi,FABD-Franchise,"248,605",0,0,0,0,"248,605"
2024-04-01,Delhi,GGKC-Franchise,"136,720",0,"4,759",0,"4,759","131,961"
2024-04-01,Delhi,ONFC-Franchise,"108,595","72,163",799,0,"72,962","35,633"
2024-04-01,Delhi,RHNP-Franchise,"519,520",0,994,0,994,"518,526"
2024-04-01,Delhi,SNSR-Franchise,"223,990",0,0,0,0,"223,990"
2024-04-01,Delhi,APAN-Franchise,"7,658",0,0,0,0,"7,658"
2024-04-01,Delhi,KTWS-Franchise,"226,936",0,0,0,0,"226,936"
