pincode,city,delivered_rate
110009,Delhi,35
110033,Delhi,35
110034,Delhi,35
110036,Delhi,36
110042,Delhi,35
110052,Delhi,35
110084,Delhi,36
110001,Delhi,40
110003,Delhi,40
110004,Delhi,40
110005,Delhi,40
110007,Delhi,40
110008,Delhi,40
110010,Delhi,40
110012,Delhi,40
110014,Delhi,40
110015,Delhi,30
110016,Delhi,40
110017,Delhi,40
110018,Delhi,30
110019,Delhi,40
110020,Delhi,40
110021,Delhi,40
110022,Delhi,40
110023,Delhi,40
110024,Delhi,40
110025,Delhi,40
110026,Delhi,30
110027,Delhi,30
110028,Delhi,40
110029,Delhi,40
110030,Delhi,40
110035,Delhi,35
110037,Delhi,40
110038,Delhi,40
110041,Delhi,35
110043,Delhi,30
110044,Delhi,40
110045,Delhi,30
110046,Delhi,30
110047,Delhi,40
110048,Delhi,40
110049,Delhi,40
110054,Delhi,40
110056,Delhi,35
110057,Delhi,40
110058,Delhi,30
110059,Delhi,30
110060,Delhi,40
110061,Delhi,30
110062,Delhi,40
110063,Delhi,35
110064,Delhi,30
110065,Delhi,40
110066,Delhi,40
110067,Delhi,40
110068,Delhi,40
110070,Delhi,40
110071,Delhi,30
110072,Delhi,30
110073,Delhi,36
110074,Delhi,40
110075,Delhi,30
110077,Delhi,30
110078,Delhi,30
110080,Delhi,40
110083,Delhi,35
110085,Delhi,35
110087,Delhi,35
110088,Delhi,35
110089,Delhi,35
110097,Delhi,30
122001,Delhi,40
122002,Delhi,40
122003,Delhi,40
122004,Delhi,40
122006,Delhi,40
122007,Delhi,40
122008,Delhi,40
122009,Delhi,40
122010,Delhi,40
122011,Delhi,40
122016,Delhi,40
122017,Delhi,40
122018,Delhi,40
122022,Delhi,40
560068,Bangalore,35
560099,Bangalore,35
560100,Bangalore,35
560114,Bangalore,35
110031,Delhi,36
110032,Delhi,36
110051,Delhi,36
110053,Delhi,36
110091,Delhi,36
110092,Delhi,36
110093,Delhi,36
110094,Delhi,36
110095,Delhi,36
110096,Delhi,36
121001,Delhi,36
121002,Delhi,36
121003,Delhi,36
121004,Delhi,36
121005,Delhi,36
121006,Delhi,36
121007,Delhi,36
121008,Delhi,36
121009,Delhi,36
121010,Delhi,36
121012,Delhi,36
121013,Delhi,36
201001,Delhi,36
201002,Delhi,36
201003,Delhi,36
201004,Delhi,36
201005,Delhi,36
201006,Delhi,36
201007,Delhi,36
201009,Delhi,36
201010,Delhi,36
201011,Delhi,36
201012,Delhi,36
201013,Delhi,36
201014,Delhi,36
201016,Delhi,36
201017,Delhi,36
201019,Delhi,36
201102,Delhi,36
201206,Delhi,36
302001,Jaipur,40
302002,Jaipur,40
302003,Jaipur,40
302004,Jaipur,40
302005,Jaipur,40
302006,Jaipur,40
302011,Jaipur,40
302012,Jaipur,40
302013,Jaipur,40
302015,Jaipur,40
302016,Jaipur,40
302017,Jaipur,40
302018,Jaipur,40
302019,Jaipur,40
302020,Jaipur,40
302021,Jaipur,40
302022,Jaipur,40
302023,Jaipur,40
302024,Jaipur,40
302025,Jaipur,40
302026,Jaipur,40
302027,Jaipur,40
302029,Jaipur,40
302031,Jaipur,40
302032,Jaipur,40
302033,Jaipur,40
302034,Jaipur,40
302036,Jaipur,40
302038,Jaipur,40
302039,Jaipur,40
303802,Jaipur,40
560003,Bangalore,35
560006,Bangalore,40
560010,Bangalore,35
560012,Bangalore,35
560013,Bangalore,40
560014,Bangalore,40
560015,Bangalore,40
560020,Bangalore,35
560021,Bangalore,35
560022,Bangalore,35
560024,Bangalore,40
560032,Bangalore,40
560033,Bangalore,40
560043,Bangalore,40
560044,Bangalore,35
560045,Bangalore,40
560054,Bangalore,40
560055,Bangalore,35
560057,Bangalore,40
560058,Bangalore,35
560063,Bangalore,40
560064,Bangalore,40
560065,Bangalore,40
560077,Bangalore,35
560080,Bangalore,35
560084,Bangalore,40
560086,Bangalore,35
560092,Bangalore,40
560094,Bangalore,40
560096,Bangalore,35
560097,Bangalore,40
560113,Bangalore,40
560001,Bangalore,35
560002,Bangalore,35
560004,Bangalore,35
560007,Bangalore,40
560009,Bangalore,35
560011,Bangalore,35
560018,Bangalore,35
560019,Bangalore,35
560023,Bangalore,35
560025,Bangalore,35
560026,Bangalore,35
560027,Bangalore,35
560028,Bangalore,35
560029,Bangalore,35
560030,Bangalore,35
560031,Bangalore,35
560034,Bangalore,35
560039,Bangalore,35
560040,Bangalore,35
560041,Bangalore,35
560046,Bangalore,35
560047,Bangalore,35
560050,Bangalore,35
560051,Bangalore,35
560052,Bangalore,35
560053,Bangalore,35
560056,Bangalore,35
560059,Bangalore,35
560061,Bangalore,35
560062,Bangalore,35
560069,Bangalore,35
560070,Bangalore,35
560072,Bangalore,35
560076,Bangalore,35
560078,Bangalore,35
560079,Bangalore,35
560081,Bangalore,35
560083,Bangalore,35
560085,Bangalore,35
560091,Bangalore,35
560095,Bangalore,35
560098,Bangalore,35
560104,Bangalore,35
560108,Bangalore,35
560109,Bangalore,35
560110,Bangalore,35
560111,Bangalore,35
500001,Hyderabad,40
500003,Hyderabad,40
500004,Hyderabad,40
500006,Hyderabad,40
500007,Hyderabad,40
500008,Hyderabad,40
500009,Hyderabad,40
500010,Hyderabad,40
500011,Hyderabad,40
500012,Hyderabad,40
500013,Hyderabad,40
500014,Hyderabad,40
500015,Hyderabad,40
500016,Hyderabad,40
500017,Hyderabad,40
500018,Hyderabad,40
500019,Hyderabad,40
500020,Hyderabad,40
500022,Hyderabad,40
500025,Hyderabad,40
500026,Hyderabad,40
500027,Hyderabad,40
500028,Hyderabad,40
500029,Hyderabad,40
500032,Hyderabad,40
500033,Hyderabad,40
500034,Hyderabad,40
500036,Hyderabad,40
500037,Hyderabad,40
500038,Hyderabad,40
500041,Hyderabad,40
500042,Hyderabad,40
500043,Hyderabad,40
500044,Hyderabad,40
500045,Hyderabad,40
500046,Hyderabad,40
500047,Hyderabad,40
500049,Hyderabad,40
500050,Hyderabad,40
500054,Hyderabad,40
500055,Hyderabad,40
500056,Hyderabad,40
500057,Hyderabad,40
500059,Hyderabad,40
500061,Hyderabad,40
500062,Hyderabad,40
500063,Hyderabad,40
500067,Hyderabad,40
500072,Hyderabad,40
500073,Hyderabad,40
500076,Hyderabad,40
500078,Hyderabad,40
500080,Hyderabad,40
500081,Hyderabad,40
500082,Hyderabad,40
500084,Hyderabad,40
500085,Hyderabad,40
500087,Hyderabad,40
500089,Hyderabad,40
500090,Hyderabad,40
500093,Hyderabad,40
500094,Hyderabad,40
500095,Hyderabad,40
500096,Hyderabad,40
500100,Hyderabad,40
500104,Hyderabad,40
500105,Hyderabad,40
500110,Hyderabad,40
500111,Hyderabad,40
501401,Hyderabad,40
400024,Mumbai,30
400029,Mumbai,30
400042,Mumbai,35
400043,Mumbai,35
400049,Mumbai,40
400050,Mumbai,30
400051,Mumbai,30
400052,Mumbai,30
400053,Mumbai,40
400054,Mumbai,40
400055,Mumbai,30
400056,Mumbai,40
400057,Mumbai,40
400058,Mumbai,40
400059,Mumbai,40
400060,Mumbai,40
400061,Mumbai,40
400069,Mumbai,40
400070,Mumbai,30
400071,Mumbai,30
400072,Mumbai,35
400074,Mumbai,35
400075,Mumbai,30
400076,Mumbai,35
400077,Mumbai,30
400078,Mumbai,35
400079,Mumbai,35
400080,Mumbai,35
400081,Mumbai,35
400082,Mumbai,35
400083,Mumbai,35
400084,Mumbai,35
400085,Mumbai,35
400086,Mumbai,35
400087,Mumbai,35
400088,Mumbai,35
400089,Mumbai,30
400093,Mumbai,40
400094,Mumbai,35
400096,Mumbai,40
400098,Mumbai,30
400099,Mumbai,40
400102,Mumbai,40
400601,Mumbai,45
400602,Mumbai,45
400603,Mumbai,45
400604,Mumbai,45
400606,Mumbai,45
400607,Mumbai,45
400608,Mumbai,45
400610,Mumbai,45
400615,Mumbai,45
560005,Bangalore,40
560008,Bangalore,40
560016,Bangalore,35
560017,Bangalore,35
560035,Bangalore,35
560036,Bangalore,35
560037,Bangalore,35
560038,Bangalore,35
560042,Bangalore,40
560048,Bangalore,35
560066,Bangalore,35
560067,Bangalore,35
560071,Bangalore,35
560075,Bangalore,35
560087,Bangalore,35
560093,Bangalore,35
560102,Bangalore,35
560103,Bangalore,35
201008,Delhi,36
201301,Delhi,36
201303,Delhi,36
201304,Delhi,36
201305,Delhi,36
201306,Delhi,36
201307,Delhi,36
201309,Delhi,36
201310,Delhi,36
400001,Mumbai,40
400002,Mumbai,40
400003,Mumbai,40
400004,Mumbai,40
400005,Mumbai,40
400006,Mumbai,40
400007,Mumbai,40
400008,Mumbai,40
400009,Mumbai,40
400010,Mumbai,40
400011,Mumbai,40
400012,Mumbai,40
400013,Mumbai,40
400014,Mumbai,40
400015,Mumbai,40
400016,Mumbai,40
400017,Mumbai,40
400018,Mumbai,40
400019,Mumbai,40
400020,Mumbai,40
400021,Mumbai,40
400022,Mumbai,40
400025,Mumbai,40
400026,Mumbai,40
400027,Mumbai,40
400028,Mumbai,40
400030,Mumbai,40
400031,Mumbai,40
400032,Mumbai,40
400033,Mumbai,40
400034,Mumbai,40
400035,Mumbai,40
400037,Mumbai,40
400063,Mumbai,40
400064,Mumbai,40
400065,Mumbai,40
400066,Mumbai,40
400067,Mumbai,40
400068,Mumbai,40
400091,Mumbai,40
400092,Mumbai,40
400095,Mumbai,40
400097,Mumbai,40
400101,Mumbai,40
400103,Mumbai,40
400104,Mumbai,40
110002,Delhi,40
110006,Delhi,40
110011,Delhi,40
110013,Delhi,40
110039,Delhi,36
110040,Delhi,36
110050,Delhi,40
110055,Delhi,40
110069,Delhi,40
110076,Delhi,36
